Market Year,Barley Consumption Growth Rate,Barley Production Growth Rate,Barley Imports Growth Rate,Barley Exports Growth Rate,Rice Consumption Growth Rate,Rice Production Growth Rate,Rice Imports Growth Rate,Rice exports Growth Rate,Wheat Consumption Growth Rate,Wheat Production Growth Rate,Wheat imports Growth Rate,Wheat Exports Growth Rate,Hunger Annual Change,Poverty % Under US $5.50 Per Day,Poverty Annual Change,Meat Exports Growth Rate,Meat Imports Growth Rate,Meat Production Growth Rate,Meat Consumption Growth Rate,Population Growth Rate,Economic Annual Change,Inflation Annual Change,Inflation Rate,Exports % of GDP,Imports % of GDP,Unemployment Per Year
1960,-0.0239,0.0124,1.062600774,-0.085385358,0.1021,0.260264436,-0.113640126,-0.1957,0.200475267,0.0639,0.811066509,0.472033142,0.046803264,0.73734289,0.052857948,-1.092783092,0.069909726,-0.470107842,0.541357996,0.0232,0.0031,-0.0084,0.0974,0.0717,0.1663,0.015087528
1961,-0.1007,-0.1367,1.243928266,0.071765355,0.0163,0.0942,-0.040446056,0.2297,-0.1813,-0.0243,0.114,0.496618928,0.088352031,0.813117901,-0.065407207,-0.30167778,0.117276725,-0.855552191,0.450452475,0.0239,0.0599,0.055,0.1058,0.0622,0.2032,0.014076829
1962,-0.064,-0.0333,-1,-0.021686261,-0.0371,-0.0275,0.163296303,0.0462,0.2045,0.0558,0.4322,0.333553151,-0.083525172,0.935224645,0.114785254,1.732789115,0.108283419,1.028273227,0.373265785,0.0246,0.0448,0.0099,0.0508,0.067,0.2007,0.015832581
1963,0.094,0.069,1.24390361,-0.007468543,0.1021,0.0876,-0.036565259,-0.0147,0.0917,0.0355,-0.0745,0.595597155,0.080882928,0.705013739,-0.001337318,-2.05532146,0.025601576,-1.148021317,0.397202862,0.0252,0.0869,0.0032,0.0409,0.0818,0.176,0.014198876
1964,-0.1172,-0.1048,-1,-0.235925091,0.103,0.1334,-0.017354425,0.3731,0.1318,-0.0019,0.1782,0.370745694,0.00797428,0.657796874,-0.006124309,-0.641255386,0.112976318,1.366904512,0.454110892,0.0256,0.0757,0.0124,0.0377,0.0772,0.1616,0.012790155
1965,0.0265,0.0631,1.034784789,-0.174808277,0.0017,-0.0252,-0.056279982,-0.1957,-0.1219,0.1031,-0.3076,0.375385263,0.015456679,0.773957954,-0.03649688,1.247673995,0.031179738,1.707636056,0.394767348,0.026,0.1042,-0.0466,0.0253,0.0706,0.1705,0.013158756
1966,-0.2328,-0.2966,1.080458078,-0.04191192,0.012,0.0364,-0.184789167,0.2297,0.0039,-0.147,0.4231,0.353588352,0.155569318,0.813918999,-0.130151454,1.377764981,0.12769271,-2.2100545,0.442569276,0.0264,0.0579,-0.005,0.0719,0.0691,0.1866,0.015077588
1967,-0.0225,0.0602,1.132994314,-0.142294418,0.164,0.0982,-0.024692441,-0.3297,0.0813,0.1067,0.2115,0.577611314,0.041532346,0.918938011,-0.179822108,3.727918098,-0.127307315,2.918311434,0.50909843,0.0267,0.054,-0.0199,0.0769,0.0692,0.2006,0.01523676
1968,0.2069,0.2273,1.242854016,-0.048990179,0.374,0.3556,0.07131491,0.1475,0.0922,0.4808,-0.6452,0.403458531,0.083140256,0.814824755,0.053093202,0.877116354,0.172440304,-0.539219027,0.609118608,0.027,0.0723,-0.0223,0.0968,0.0753,0.2041,0.013664255
1969,-0.0571,-0.1019,0.9314364,-0.214048967,0.2209,0.1816,-0.269128397,-0.35,0.1099,0.0312,-1,0.235395645,0.034284756,0.600756563,-0.118651657,-1.531532048,0.155292576,3.403601317,0.569369055,0.0271,0.0551,-0.0102,0.1192,0.0692,0.1897,0.014597972
1970,0.0808,0.0722,1.07755839,-0.114535627,-0.1264,-0.0837,-0.134984235,1,0.0883,0.1021,0.0262,0.258029521,-0.231281119,0.76053209,-0.029900127,-0.067455849,0.188107824,-0.483353803,0.542119748,0.0273,0.1135,-0.0071,0.1294,0.0762,0.1935,0.013827335
1971,-0.1682,-0.125,1.191166731,0.141071946,-0.0159,0.0118,-0.09616415,0.0879,-0.1075,-0.1121,-0.0447,0.355014092,-0.064954817,0.832477925,-0.134130981,3.085425606,-0.074970473,2.5588071,0.371957076,0.0274,0.0047,-0.0664,0.1365,0.0772,0.1968,0.014449794
1972,-0.1461,0.1319,1.071041076,-0.224226374,-0.0871,0.0279,-1,-0.0827,0.0881,0.0639,0.4294,0.291113782,-0.073027633,1.007155982,0.165114262,1.081128725,-0.007117129,0.237518337,0.33098449,0.0276,0.0081,0.1269,0.2029,0.0718,0.2321,0.01568588
1973,-0.1316,0.0583,1.210161251,1.7778,0.0243,0.073,-0.237185348,-0.3599,0.0775,0.1321,-0.2466,0.383469877,0.092247927,0.772554038,0.025066866,2.838210903,0.087229282,-2.343254722,0.569062888,0.028,0.0706,-0.0032,0.076,0.1476,0.1978,0.01613969
1974,0.9091,0.2752,1.077113238,-1,0,-0.0591,-0.122999149,-0.0693,-0.0059,0,0.0262,0.555132277,-0.086538631,0.645476769,0.095816844,0.450595922,-0.061324927,-2.427028115,0.446270505,0.0286,0.0354,-0.0114,0.0792,0.1358,0.2155,0.015265711
1975,0.246,-0.0144,0.747965378,-0.034001429,0.056,0.1329,0.106886836,0.6234,0.0525,-0.0162,0.1357,0.465206379,0.123682093,0.73777167,0.024402446,-0.344763307,-0.163446082,1.215827158,0.551895998,0.0294,0.0421,0.0162,0.0906,0.1169,0.1784,0.015193544
1976,-0.172,-0.0511,1.036775394,0.063881218,-0.0107,0.0459,-0.174914806,0.1573,0.0609,0.1324,-0.6067,0.346333182,0.029860359,0.772710445,-0.074773644,-2.703992827,0.100258571,1.456872075,0.535302121,0.0302,0.0516,0.0453,0.0744,0.1065,0.133,0.015561486
1977,-0.0462,-0.0462,1.188899862,-0.101104866,0.0036,0.0778,-0.130198329,-0.0827,0.0185,0.0521,0.5779,0.477889049,0.059633447,0.795506369,0.023898335,-5.179420596,-0.021455018,2.82315282,0.452922758,0.0309,0.0395,-0.0038,0.0291,0.0934,0.1463,0.013487172
1978,-0.0242,-0.0242,1.191344942,-0.127720049,0.0878,0.1092,-0.141108641,0.2531,0.0153,-0.0849,1.6388,0.305886949,0.058343774,0.970501046,-0.071610895,0.841017584,-0.098036718,-2.988838967,0.376022996,0.0316,0.0805,0.0014,0.0329,0.0943,0.1386,0.015211169
1979,0.0661,0.0661,1.041814632,-0.214397227,0.128,-0.0171,-0.092208637,0.07,0.0731,0.1892,-0.6836,0.503418913,0.012249106,0.831449678,0.032920072,-2.823533113,0.156298812,2.338166157,0.478047313,0.0323,0.0376,-0.0122,0.0315,0.1105,0.1429,0.013894427
1980,-0.0853,-0.0853,1.178453433,-0.080166912,-0.1708,-0.0289,-0.013025934,0.0709,0.0399,0.0912,-0.521,0.268054737,-0.223324479,0.704731083,0.233440451,0.129726557,0.095865308,0.324898772,0.413787303,0.033,0.1022,0.0022,0.0437,0.1259,0.1324,0.013504273
1981,0.339,0.339,1.04477493,-0.289973616,0.2009,0.0983,-0.104943102,-0.2777,0.0013,0.0567,0.0812,0.296402478,-0.058852946,0.863853554,0.054250487,0.748608472,-0.05714345,-0.376065763,0.353210712,0.0336,0.0792,-0.0209,0.0414,0.1284,0.1697,0.012798495
1982,-0.0063,-0.0063,0.881821232,-0.139583795,-0.0542,0.0044,-0.369852834,0.3643,0.0273,-0.0147,0.6474,0.225091227,0.001911627,0.567877573,-0.033719223,0.423765618,0.058906415,1.645693567,0.437033807,0.0341,0.0654,-0.0515,0.0623,0.1019,0.1753,0.014655714
1983,0.1783,0.1783,0.941108328,-0.027801831,-0.0578,-0.0308,-0.059003223,0.0227,0.0416,0.0982,-0.3105,1.6282,0.096670056,0.904416115,0.099133764,0.468431734,-0.17147406,-2.104051513,0.307011192,0.0342,0.0678,0.01,0.1138,0.1218,0.2077,0.013757077
1984,-0.2486,-0.2486,0.963314161,-0.048726998,0.0377,-0.0072,-0.056143332,-0.2867,0.026,-0.1234,0.0812,-0.761,0.038803608,0.883923652,0.082717691,1.028273992,0.088429117,-2.195980035,0.64730907,0.0339,0.0507,-0.0197,0.1037,0.1139,0.2143,0.014673366
1985,-0.0504,-0.0504,0.988106491,-0.023820808,-0.1559,-0.1195,0.069753675,0.5514,0.0359,0.0754,0.7582,-1,-0.093561225,0.80102128,-0.052291262,0.941091753,0.0946379,1.663729785,0.579884281,0.0334,0.0759,-0.0002,0.1234,0.1057,0.1942,0.01394004
1986,0.1364,0.1364,1.010981427,0.012966043,0.1039,0.1942,-0.087986444,0.0023,0.035,0.1896,-0.7959,0.500690787,-0.01677867,0.687392335,0.015094814,-1.226959527,-0.04881724,2.347130884,0.622525311,0.0328,0.055,0.0239,0.1237,0.123,0.189,0.013823016
1987,-0.1067,-0.1067,0.835821766,-0.037773247,0.0434,-0.0703,-0.149242735,-0.2315,0.0455,-0.1366,0.3503,0.52920931,-0.16015097,0.968,0.002,-1.206134698,-0.054256932,1.170670355,0.395676373,0.0322,0.0645,0.0046,0.0997,0.1381,0.223,0.015181444
1988,-0.1642,-0.1642,1.081843867,-0.082258648,-0.0182,-0.0127,0.002301426,-0.2072,0.0787,0.0545,0.7582,0.36755547,0.268828604,0.655120544,-0.013648844,0.922083363,-0.097027176,-0.3414542,0.553232753,0.0316,0.0763,-0.0228,0.0951,0.1386,0.2042,0.014677383
1989,0.0982,0.0982,1.077924466,0.019701724,0.0714,0.0063,0.063847604,-0.0543,0.0289,0.1376,-0.1291,0.562417833,0.016149005,0.815620305,-0.166861118,-0.802271778,0.204904498,-0.230983849,0.410800931,0.0308,0.0496,0.0274,0.1179,0.1407,0.1849,0.014678192
1990,0.065,0.065,1.144972569,-0.120314383,-0.0667,0.014,-0.07631656,0.7009,0.0581,0.0007,-0.4645,0.652406219,0.059743852,0.97,0.002,-0.906937093,0.199079205,-2.341476259,0.350944085,0.03,0.0446,0.0121,0.0905,0.1479,0.2025,0.014404843
1991,0.084,0.084,0.925500789,0.071952,0.0238,-0.0067,-0.019839928,0.1138,0.0433,0.0094,-0.4645,0.538441584,0.167275496,0.730948066,0.081264214,-0.33023876,-0.077864664,-0.644229032,0.570261825,0.0291,0.0506,-0.0099,0.0784,0.1693,0.2035,0.0059
1992,-0.0141,-0.0141,1.035363303,0.016981442,0.0465,-0.0392,-0.091848286,-0.3531,0.0295,0.0768,0.2909,4,0.009771062,0.65730232,-0.010474851,0.725315392,-0.07058296,-2.519354933,0.4538346,0.0283,0.0771,0.0416,0.0884,0.1727,0.1943,0.006
1993,0.1286,0.1286,1.006561022,0.024166435,0.0222,0.2821,-0.132465764,0.342,0.0284,0.0302,-0.435,-1,0.012054988,0.902722617,0.021950858,2.797049527,-0.063649738,2.553088133,0.437866205,0.0279,0.0176,0.0117,0.0468,0.162,0.1909,0.0062
1994,-0.1709,-0.0759,1.229996603,-0.174399336,0.0435,-0.1372,-0.141188854,0.3474,0.0132,-0.0585,0.3129,0.339179119,0.037217722,0.837106779,0.00460273,0.490164727,0.056569934,2.052786786,0.469657596,0.028,0.0374,-0.0211,0.0351,0.1616,0.2011,0.0063
1995,0.2519,0.1233,0.923673772,-1,0.0546,0.1509,-0.116038001,-0.0169,0.0423,0.1177,-0.1036,-0.8333,0.06991114,0.912254739,-0.041153536,-0.161772387,-0.122403183,0.059571893,0.523434333,0.0284,0.0496,-0.0047,0.0561,0.1671,0.226,0.0063
1996,0.061,0.061,1.122630267,-0.145615209,0.0075,0.0857,0.035432987,0.1238,0.0645,-0.0056,0.5859,0,0.141671159,0.917,-0.053,1.446903312,-0.08823556,0.059571893,0.63023972,0.0289,0.0485,-0.0027,0.0609,0.169,0.2197,0.0063
1997,-0.1379,-0.1379,0.973304251,-0.042608302,0,0.006,-0.148766536,0.1445,0.0067,-0.0151,0.3685,11,-0.040681133,0.908,-0.157759261,1.063756004,0.103213315,0.1534,0.1534,0.0291,0.0101,0.0046,0.0636,0.1608,0.2251,0.0063
1998,0.16,0.16,1.33169159,-0.049061221,0.0098,0.0787,-0.293344526,-0.1248,0.0506,0.1227,-0.2421,-1,0.136962483,0.892091461,-0.009,1.843817549,0.024812781,0.023,0.0242,0.0289,0.0255,-0.0598,0.059,0.1648,0.2113,0.0063
1999,-0.2126,-0.2126,0.907452127,-0.057955398,0.0097,0.1031,-0.159526817,0.1453,-0.0391,-0.0447,-0.3291,0.250392757,0.09056887,0.857115109,-0.128520594,0.053231504,0.146986606,0.0248,0.0236,0.028,0.0366,-0.0006,0.1188,0.1535,0.2233,0.0064
2000,-0.1387,-0.1387,0.983633085,-0.138960956,0.0058,-0.0687,-0.179954986,0.1545,0.0023,0.1804,-0.9762,0.360631728,-0.098658971,1.042473722,0.054340975,-1.379355648,0.104508574,0.0219,0.0219,0.0268,0.0426,0.0367,0.1194,0.1212,0.2331,0.0063
2001,-0.2373,-0.161,1.032063279,-0.205877326,-0.0287,-0.1916,-0.064261298,-0.3298,-0.0341,-0.0975,3.7,0.9565,0.003,0.937,0.029,1.482299939,-0.009029967,0.0192,0.0192,0.0255,0.0355,0.0213,0.0827,0.1334,0.2182,0.0063
2002,0.1111,0.0101,1.019489277,-0.297365381,0.002,0.1538,-0.147927246,0.2236,-0.0717,-0.0419,-0.2128,1.3939,-0.001,0.827013934,0.027419567,-0.670791401,0.028268177,0.0244,0.0244,0.0245,0.0251,-0.0399,0.0614,0.1378,0.1849,0.0064
2003,0,0,1.307329197,-0.109502493,0.0196,0.0824,0.017685469,-0.0622,0.0283,0.0524,-0.1243,-0.8371,-0.007,0.649150736,-0.188355293,-0.292987572,0.198744674,0.0303,0.027,0.0237,0.0578,0.0297,0.1013,0.1517,0.1786,0.0064
2004,0,-0.03,0.895131767,-0.102618221,-0.0173,0.0365,-0.1159499,0.4995,0.0317,0.0165,-0.2128,2.1088,-0.018,0.884,-0.053,0,-0.103003894,0.0273,0.0274,0.0233,0.0755,-0.1375,0.0716,0.1424,0.183,0.0063
2005,-0.05,-0.0515,2,-0.176394363,-0.2565,0.1039,-0.079993269,0.3081,0.0308,0.1083,-0.347,0,-0.016,0.885,0.001,0,0.157354528,0.0255,0.0287,0.0232,0.0652,-0.0576,0.209,0.1431,0.207,0.0061
2006,-0.0737,-0.0435,-0.6667,-0.098889218,0.1577,-0.0197,-0.203937874,-0.2252,0.0796,-0.0155,-0.9286,0.1667,-0.015,0.760967304,0.061815539,0.6667,2.3333,0.2948,0.2998,0.0232,0.059,0.0359,0.2666,0.1413,0.1726,0.0058
2007,0.0568,0.0568,0,0.06471051,0.2383,0.023,-0.080585448,0.0504,0.0323,0.0948,-0.3412,2.1429,0.003,0.868,-0.017,1,-0.1,0.0338,0.0291,0.0231,0.0483,0.1789,0.2307,0.1321,0.1422,0.004
2008,-0.0645,-0.0645,1,-0.221441647,0.2472,0.2497,-0.008297033,-0.0241,0.0179,-0.1003,-0.8947,-0.0455,0.005,0.875053945,-0.115261879,0.5,-0.6667,0.0327,0.0246,0.0229,0.017,0.0045,0.0518,0.1238,0.0865,0.0042
2009,0,-0.0575,1,-0.044039069,-0.1404,-0.0099,-0.115907163,0.3746,0.0088,0.1467,-0.946,-0.8571,0.005,0.918474647,-0.030975277,0.4,-0.3333,0.0353,0.0305,0.0226,0.0283,-0.0062,0.0473,0.124,0.1048,0.0054
2010,-0.1264,-0.1341,-0.25,-0.202146765,-0.1603,-0.2993,1,-0.1538,0,-0.03,-0.3412,3.6667,0.004,0.851,-0.017,0.2381,0,0.0334,0.0303,0.0222,0.0161,0.0216,0.0535,0.1352,0.1035,0.0065
2011,0,0,0,0.015038528,0.0139,0.2772,0.6875,0.021,0.0043,0.0816,-0.3304,-0.2143,0.001,0.836,-0.015,0,0.5,0.0343,0.0356,0.0218,0.0275,0.0302,0.0319,0.1397,0.1056,0.008
2012,-0.0658,-0.0704,-0.6667,-0.070077167,-0.1121,-0.1013,-0.1667,0.0353,0.0346,-0.069,-0.7333,-0.2273,-0.006,0.571658316,0.044045083,0.3846,-0.6667,0.0332,0.0258,0.0215,0.0351,-0.0664,0.0017,0.124,0.116,0.017
2013,-0.0141,0.0152,0,0.013563794,0.1348,0.228,-0.3111,0.104,0.0084,0.0314,18.3,-0.1176,-0.012,0.796,-0.04,0.1389,0,0.0271,0.0245,0.0213,0.044,-0.0042,0.0681,0.1328,0.1357,0.0295
2014,0.1429,0,18,-0.136273969,0.04,0.0302,-0.0323,-0.038,0.0166,0.073,0.9171,-0.0667,-0.015,0.739028775,-0.14203069,0.0732,0,0.0337,0.0327,0.0211,0.0467,0.0166,0.0723,0.1224,0.1229,0.0183
2015,0,-0.0597,0.0526,-0.216639851,0.0769,-0.0287,-0.6667,0.1053,-0.0041,-0.0344,-0.9743,-0.1429,-0.019,0.759,-0.037,0.2727,-1,0.0148,0.0073,0.0211,0.0473,0.0139,0.0557,0.106,0.1699,0.0357
2016,0,-0.0317,0.45,0.039665043,0.1071,0.0069,-0.2,-0.1552,0.0041,0.0218,-0.8947,0,-0.008,0.823184666,-0.125571893,-0.29386472,-0.021257242,0.561075959,0.365595906,0.0211,0.0553,0.0272,0.0418,0.0915,0.154,0.0378
2017,-0.125,-0.0492,-0.8276,-0.053520063,0.0806,0.0878,0.125,0.1305,0.0204,0.0406,0,1.01,0.007,0.900129733,-0.014861994,-0.180661735,-0.173518523,2.961631041,0.514521291,0.021,0.0555,0.0197,0.0146,0.0826,0.1581,0.0394
2018,-0.0714,-0.0517,0.6,-0.128712894,-0.0448,-0.0333,-0.1111,0.1202,0.016,-0.0599,0,0.6294,0.007,0.762,0.003,1.992312228,-0.031291234,0.817403523,0.31104082,0.0208,0.0584,-0.0216,-0.0052,0.0897,0.1439,0.0408
2019,0,0,-0.125,-0.127468987,0.0625,0.0294,-0.125,-0.1498,0.0039,-0.029,-0.3412,-0.8005,0.205931698,0.81135643,-0.031502534,3.402438887,0.134861525,0.905125787,0.463294526,0.0204,0.0099,-0.0531,0.0164,0.1012,0.1402,0.0398
2020,0,0.1455,-0.4286,-0.093471772,0.0882,0.1039,0,0.0079,0.0275,0.0245,-0.5,0.2755,-0.11934023,0.981119305,-0.004537087,2.421002757,0.167474775,-0.911290762,0.514920672,0.02,0.0053,-0.0531,0.0695,0.0958,0.1322,0.0465
2021,0.1538,-0.0704,1.5,0.027971879,0.0541,0.002,-0.2857,0.039,0.0382,0.0823,-0.3088,0.2,0.01676881,0.670910711,-0.006517203,-0.210390035,0.187654926,1.01385972,0.342692676,0.0195,0.003069512,0.671102635,-0.0052,0.441845486,0.857722944,0.0063